"Own
",Household,Vulnerable,CanadaPopHealth,WorldPopHealth,Overload,CivilDisorder,MaintainingSocials,CooperationDuring,"CooperationAfter
","
FamilyStress","
ViolenceHome",Gender,JobLos,Finance,Province,VERDATE
Very,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Disagree,No impact,Quebec,MAR
Very,Very,Extremely,Very,Very,Very,Very,Very,Extremely,Extremely,Not at all,Not at all,Male,Disagree,Minor impact,Quebec,MAR
Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Very,Male,Strongly agree,Major impact,Ontario,MAR
Extremely,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Not at all,Not at all,Male,Disagree,Minor impact,Ontario,MAR
Somewhat,Somewhat,Somewhat,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Female,Neither agree nor disagree,Minor impact,Quebec,MAR
Very,Very,Very,Somewhat,Somewhat,Very,Extremely,Not at all,Extremely,Somewhat,Somewhat,Somewhat,Female,Not working at a job or business,Minor impact,Quebec,MAR
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Moderate impact,Nova Scotia,MAR
Somewhat,Somewhat,Extremely,Very,Very,Very,Extremely,Extremely,Very,Very,Very,Very,Female,Disagree,No impact,New Brunswick,MAR
Very,Very,Extremely,Very,Very,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Minor impact,Quebec,MAR
Not at all,Somewhat,Very,Very,Extremely,Very,Somewhat,Not at all,Somewhat,Somewhat,Extremely,Not at all,Male,Strongly agree,Too soon to tell,Alberta,MAR
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Not at all,Female,Strongly agree,Major impact,Quebec,MAR
Very,Extremely,Extremely,Very,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,Too soon to tell,Ontario,MAR
Extremely,Very,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Very,Very,Male,Strongly agree,Major impact,Newfoundland and Labrador,MAR
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Extremely,Not at all,Female,Strongly disagree,No impact,Nova Scotia,MAR
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Extremely,Extremely,Male,Agree,Minor impact,Ontario,MAR
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Extremely,Not at all,Female,Strongly agree,Major impact,Ontario,MAR
Very,Very,Extremely,Extremely,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Very,Not at all,Male,Disagree,Too soon to tell,Ontario,MAR
Somewhat,Extremely,Very,Very,Very,Extremely,Very,Not at all,Very,Somewhat,Very,Not at all,Female,Not working at a job or business,Major impact,British Columbia,MAR
Somewhat,Very,Very,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,Somewhat,Not at all,Female,Strongly agree,Major impact,Ontario,MAR
Extremely,Very,Extremely,Very,Somewhat,Very,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,British Columbia,MAR
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Moderate impact,Ontario,MAR
Very,Very,Extremely,Somewhat,Somewhat,Extremely,Not at all,Not at all,Not at all,Not at all,Very,Somewhat,Female,Strongly disagree,Minor impact,Manitoba,MAR
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Agree,Minor impact,New Brunswick,MAR
Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Male,Disagree,Minor impact,Quebec,MAR
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Very,Not at all,Female,Agree,Moderate impact,Ontario,MAR
Very,Very,Very,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Neither agree nor disagree,No impact,Ontario,MAR
Not at all,Very,Very,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Male,Disagree,Minor impact,Ontario,MAR
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Extremely,Extremely,Very,Extremely,Female,Neither agree nor disagree,Major impact,Quebec,MAR
Not at all,Not at all,Extremely,Somewhat,Very,Extremely,Somewhat,Not at all,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Minor impact,Alberta,MAR
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Disagree,No impact,Ontario,MAR
Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Female,Strongly agree,Minor impact,Alberta,MAR
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly agree,Minor impact,Ontario,MAR
Not at all,Extremely,Very,Very,Very,Very,Very,Very,Extremely,Extremely,Not at all,Not at all,Female,Strongly disagree,Minor impact,Quebec,MAR
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly agree,Moderate impact,Alberta,MAR
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Neither agree nor disagree,Moderate impact,Ontario,MAR
Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Strongly agree,Major impact,British Columbia,MAR
Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,Quebec,MAR
Somewhat,Somewhat,Very,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,New Brunswick,MAR
Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,Alberta,MAR
Very,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly disagree,Too soon to tell,Alberta,MAR
Not at all,Somewhat,Extremely,Extremely,Extremely,Very,Not at all,Very,Very,Very,Somewhat,Not at all,Female,Disagree,Minor impact,British Columbia,MAR
Somewhat,Very,Extremely,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,Quebec,MAR
Somewhat,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,British Columbia,MAR
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Extremely,Not at all,Female,Not working at a job or business,Too soon to tell,British Columbia,MAR
Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,Ontario,MAR
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Moderate impact,Ontario,MAR
Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,Ontario,MAR
Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Extremely,Very,Not at all,Male,Strongly disagree,Minor impact,Quebec,MAR
Somewhat,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Disagree,Minor impact,Nova Scotia,MAR
Somewhat,Somewhat,Very,Very,Very,Very,Very,Somewhat,Very,Very,Somewhat,Not at all,Female,Disagree,No impact,Quebec,MAR
Very,Somewhat,Very,Somewhat,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Female,Strongly disagree,Too soon to tell,Quebec,MAR
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Female,Strongly agree,Major impact,Newfoundland and Labrador,MAR
Very,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Extremely,Not at all,Somewhat,Female,Disagree,Minor impact,Nova Scotia,MAR
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,Manitoba,MAR
Very,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Very,Not at all,Female,Strongly agree,Moderate impact,New Brunswick,MAR
Somewhat,Not at all,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,Major impact,Ontario,MAR
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Extremely,Somewhat,Not at all,Female,Agree,Major impact,Ontario,MAR
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Disagree,No impact,British Columbia,MAR
Very,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,Ontario,MAR
Very,Very,Extremely,Very,Somewhat,Very,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Major impact,Ontario,MAR
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Not at all,Extremely,Not at all,Female,Not working at a job or business,Major impact,Alberta,MAR
Somewhat,Not at all,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Disagree,Too soon to tell,Ontario,MAR
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Extremely,Extremely,Very,Somewhat,Male,Strongly agree,Major impact,British Columbia,MAR
Not at all,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Very,Male,Strongly disagree,No impact,Quebec,SEPT
Extremely,Extremely,Extremely,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly agree,Too soon to tell,Ontario,SEPT
Somewhat,Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,Ontario,SEPT
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Very,Somewhat,Not at all,Not at all,Female,Strongly agree,Major impact,British Columbia,SEPT
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Female,Strongly disagree,No impact,Nova Scotia,SEPT
Not at all,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Very,Very,Not at all,Not at all,Female,Not working at a job or business,Major impact,Ontario,SEPT
Extremely,Extremely,Extremely,Very,Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,Ontario,SEPT
Very,Not at all,Very,Very,Very,Very,Somewhat,Very,Very,Very,Not at all,Somewhat,Female,Strongly disagree,No impact,Quebec,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Not working at a job or business,No impact,Manitoba,SEPT
