PUMFID,AGEGROUP,AGEGR_10,"When practicing recommended public health measures, which
source of information do you find the most helpful?","Which social media application do you use most often to discuss
topics about COVID-FacebookSina Weibo?
",BH_Filled prescriptions0A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,"How concerned are you about each of the following impacts of
COVID-Not at all9?
My own health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Member of the household’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Vulnerable people’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Canadian population’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
World population’s health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Overloading the health system","How concerned are you about each of the following impacts of
COVID-Not at all9?
Civil disorder","How concerned are you about each of the following impacts of
COVID-Not at all9?
Maintaining social ties","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another during the crisis","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another after the crisis
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Family stress from confinement","How concerned are you about each of the following impacts of
COVID-Not at all9?
Violence in the home","In the last week, how often did you do each of the following activities","In the last week, how often did you do each of the following activities?
Used a delivery service for groceries or for a drugstore
","In the last week, how often did you do each of the following activities?
Used a food delivery service for prepared food
","In the last week, how often did you do each of the following activities?
Ate at a restaurant","In the last week, how often did you do each of the following activities?
Attended a public event","In the last week, how often did you do each of the following activities?
Travelled for work",What is your gender?,"To what extent do you agree or disagree with the following
statement?
I might lose my main job or main self-employment income source in
the next four weeks.","Which of the following best describes the impact of COVID-Major impact9 on your
ability to meet financial obligations or essential needs, such as rent or
mortgage payments, utilities and groceries?
",PRURURB,PPROV,VERDATE
1526,5,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,2,1,1,1,1,1,2,1,2,Very,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,No impact,2,QC,MAR
1527,3,2,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,2,1,1,2,Very,Very,Extremely,Very,Very,Very,Very,Very,Extremely,Extremely,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Male,Disagree,Minor impact,2,QC,MAR
1528,8,5,Federal daily announcements by public health and political leaders,Instagram,Stocked up on essentials at a grocery store or pharmacy,2,1,1,1,1,1,1,1,1,2,2,2,Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Very,1 to 3 times,1 to 3 times,1 to 3 times,Never,Never,Never,Male,Strongly agree,Major impact,2,ON,MAR
1529,3,2,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,2,2,1,2,Extremely,9,Extremely,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,9,Never,Never,1 to 3 times,Never,Never,1 to 3 times,Female,Disagree,Too soon to tell,2,ON,MAR
1530,4,3,"Municipal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,2,1,2,Extremely,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Disagree,Minor impact,2,ON,MAR
1531,8,5,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,1,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Somewhat,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Never,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Minor impact,2,QC,MAR
1532,3,2,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,2,1,1,1,1,1,1,2,2,2,Very,Very,Very,Somewhat,Somewhat,Very,Extremely,Not at all,Extremely,Somewhat,Somewhat,Somewhat,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Not working at a job or business,Minor impact,2,QC,MAR
1533,6,4,Federal daily announcements by public health and political leaders,Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,1 to 3 times,Female,Strongly agree,Moderate impact,2,NS,MAR
1534,4,3,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,2,2,2,Somewhat,Somewhat,Extremely,Very,Very,Very,Extremely,Extremely,Very,Very,Very,Very,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Disagree,No impact,2,NB,MAR
1535,4,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,2,1,2,Very,Very,Extremely,Very,Very,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,Minor impact,2,QC,MAR
