"Own health
",Household/Family health,Vulnerable people’s health,Canadian population’s health,World population’s health,Overloading health system,Civil disorder,Maintaining social ties,Cooperation and support during crisis,"Cooperation and support after crisis
","
Family stress from confinement","
Violence in the home",Gender,Job loss,Meeting financial obligations,PPROV,VERDATE
Very,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Disagree,No impact,QC,MAR
Very,Very,Extremely,Very,Very,Very,Very,Very,Extremely,Extremely,Not at all,Not at all,Male,Disagree,Minor impact,QC,MAR
Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Very,Male,Strongly agree,Major impact,ON,MAR
Extremely,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Not at all,Not at all,Male,Disagree,Minor impact,ON,MAR
Somewhat,Somewhat,Somewhat,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Female,Neither agree nor disagree,Minor impact,QC,MAR
Very,Very,Very,Somewhat,Somewhat,Very,Extremely,Not at all,Extremely,Somewhat,Somewhat,Somewhat,Female,Not working at a job or business,Minor impact,QC,MAR
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Moderate impact,NS,MAR
Somewhat,Somewhat,Extremely,Very,Very,Very,Extremely,Extremely,Very,Very,Very,Very,Female,Disagree,No impact,NB,MAR
Very,Very,Extremely,Very,Very,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Minor impact,QC,MAR
Not at all,Somewhat,Very,Very,Extremely,Very,Somewhat,Not at all,Somewhat,Somewhat,Extremely,Not at all,Male,Strongly agree,Too soon to tell,AB,MAR
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Not at all,Female,Strongly agree,Major impact,QC,MAR
Very,Extremely,Extremely,Very,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,Too soon to tell,ON,MAR
Extremely,Very,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Very,Very,Male,Strongly agree,Major impact,NL,MAR
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Extremely,Not at all,Female,Strongly disagree,No impact,NS,MAR
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Extremely,Extremely,Male,Agree,Minor impact,ON,MAR
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Extremely,Not at all,Female,Strongly agree,Major impact,ON,MAR
Very,Very,Extremely,Extremely,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Very,Not at all,Male,Disagree,Too soon to tell,ON,MAR
Somewhat,Extremely,Very,Very,Very,Extremely,Very,Not at all,Very,Somewhat,Very,Not at all,Female,Not working at a job or business,Major impact,BC,MAR
Somewhat,Very,Very,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,MAR
Extremely,Very,Extremely,Very,Somewhat,Very,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,BC,MAR
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Moderate impact,ON,MAR
Very,Very,Extremely,Somewhat,Somewhat,Extremely,Not at all,Not at all,Not at all,Not at all,Very,Somewhat,Female,Strongly disagree,Minor impact,MB,MAR
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Agree,Minor impact,NB,MAR
Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Male,Disagree,Minor impact,QC,MAR
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Very,Not at all,Female,Agree,Moderate impact,ON,MAR
Very,Very,Very,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Neither agree nor disagree,No impact,ON,MAR
