MentalHealthDescription,MentalHealthNow,Anxiety,ControlWorrying,WorryingTooMuch,TrobleRelaxing,HardToSitStill,EasilyAnnoyed,Afraid,Stress,ShoppingToDrugStore,DeliveryServiceForGroceryOrDrug,FoodDelivery,ImpactsOnHealth,Household,Vunerable,CanadaPopHealth,WorldPopHealth,Overloading,CivilDisorder,MaintainingSocials,SuportAfterCrisis,SupportDuringCrisis,StressFromConfinement,Gender,CanadianCitizen,Age,Born,VERDATE
Good,About the same,More than half the days,Nearly every day,Several days,Several days,Several days,Several days,More than half the days,Extremely stressful,Zero times,1 to 3 times,Zero Times,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Extremely,Extremely,Somewhat,Female,"Yes, Canadian citizen by naturalization",11,Born outside Canada,NOV
Good,About the same,More than half the days,Not at all,Several days,Several days,Not at all,Several days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",5,Born in Canada,NOV
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Not at all,Somewhat,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Male,"Yes, Canadian citizen",0,Born in Canada,NOV
Very Good,Somewhat worse now,More than half the days,More than half the days,Several days,More than half the days,Several days,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Somewhat,Extremely,Very,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Male,"No, not Canadian citizen",10,Born outside Canada,NOV
Good,Somewhat worse now,More than half the days,Several days,Several days,Several days,More than half the days,More than half the days,More than half the days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Female,"Yes, Canadian citizen by naturalization",11,Born outside Canada,NOV
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A bit stressful,Zero times,Zero Times,Zero Times,Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,"No, not Canadian citizen",0,Born in Canada,NOV
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Zero times,1 to 3 times,1 to 3 times,Very,Very,Very,Somewhat,Not at all,Very,Somewhat,Very,Somewhat,Very,Somewhat,Male,"No, not Canadian citizen",0,Born in Canada,NOV
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A bit stressful,4 or 5 times,Zero Times,Zero Times,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Male,"Yes, Canadian citizen",0,Born in Canada,NOV
Fair,Somewhat worse now,More than half the days,More than half the days,More than half the days,More than half the days,Not at all,More than half the days,More than half the days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Extremely,Very,Somewhat,Somewhat,Extremely,Very,Very,Very,Extremely,Female,"Yes, Canadian by birth",12,Born outside Canada,NOV
Fair,Somewhat worse now,Nearly every day,More than half the days,Nearly every day,Nearly every day,Several days,Nearly every day,Several days,Quite a bit stressful,Zero times,1 to 3 times,Zero Times,Somewhat,Somewhat,Somewhat,Very,Very,Very,Extremely,Very,Very,Very,Very,Female,"Yes, Canadian by birth",16,Born outside Canada,NOV
